Product,Interest Rate,APR,timestamp
30-Year Fixed Rate,6.77%,6.84%,2025-07-24
20-Year Fixed Rate,6.48%,6.59%,2025-07-24
15-Year Fixed Rate,6.01%,6.11%,2025-07-24
10-Year Fixed Rate,6.05%,6.15%,2025-07-24
30-Year Fixed Rate FHA,6.84%,6.89%,2025-07-24
30-Year Fixed Rate VA,6.87%,6.92%,2025-07-24
30-Year Fixed Rate Jumbo,6.72%,6.77%,2025-07-24
30-Year Fixed Rate,6.75%,6.81%,2025-07-25
20-Year Fixed Rate,6.50%,6.59%,2025-07-25
15-Year Fixed Rate,5.91%,6.01%,2025-07-25
10-Year Fixed Rate,5.92%,5.99%,2025-07-25
30-Year Fixed Rate FHA,6.44%,6.50%,2025-07-25
30-Year Fixed Rate VA,6.50%,6.54%,2025-07-25
30-Year Fixed Rate Jumbo,6.78%,6.84%,2025-07-25
30-Year Fixed Rate,6.77%,6.83%,2025-07-28
20-Year Fixed Rate,6.51%,6.62%,2025-07-28
15-Year Fixed Rate,5.96%,6.06%,2025-07-28
10-Year Fixed Rate,5.91%,5.99%,2025-07-28
30-Year Fixed Rate FHA,6.69%,6.75%,2025-07-28
30-Year Fixed Rate VA,6.80%,6.84%,2025-07-28
30-Year Fixed Rate Jumbo,6.81%,6.86%,2025-07-28
30-Year Fixed Rate,6.79%,6.85%,2025-07-29
20-Year Fixed Rate,6.53%,6.64%,2025-07-29
15-Year Fixed Rate,5.99%,6.08%,2025-07-29
10-Year Fixed Rate,5.92%,6.00%,2025-07-29
30-Year Fixed Rate FHA,6.75%,6.81%,2025-07-29
30-Year Fixed Rate VA,6.92%,6.97%,2025-07-29
30-Year Fixed Rate Jumbo,6.85%,6.90%,2025-07-29
30-Year Fixed Rate,6.76%,6.82%,2025-07-30
20-Year Fixed Rate,6.49%,6.61%,2025-07-30
15-Year Fixed Rate,5.99%,6.08%,2025-07-30
10-Year Fixed Rate,5.91%,6.00%,2025-07-30
30-Year Fixed Rate FHA,6.89%,6.96%,2025-07-30
30-Year Fixed Rate VA,7.14%,7.19%,2025-07-30
30-Year Fixed Rate Jumbo,6.75%,6.80%,2025-07-30
30-Year Fixed Rate,6.76%,6.82%,2025-07-31
20-Year Fixed Rate,6.44%,6.55%,2025-07-31
15-Year Fixed Rate,6.03%,6.12%,2025-07-31
10-Year Fixed Rate,6.13%,6.23%,2025-07-31
30-Year Fixed Rate FHA,6.91%,6.97%,2025-07-31
30-Year Fixed Rate VA,6.94%,7.00%,2025-07-31
30-Year Fixed Rate Jumbo,6.75%,6.80%,2025-07-31
30-Year Fixed Rate,6.72%,6.78%,2025-08-01
20-Year Fixed Rate,6.47%,6.56%,2025-08-01
15-Year Fixed Rate,5.97%,6.07%,2025-08-01
10-Year Fixed Rate,6.16%,6.27%,2025-08-01
30-Year Fixed Rate FHA,6.40%,6.47%,2025-08-01
30-Year Fixed Rate VA,6.41%,6.47%,2025-08-01
30-Year Fixed Rate Jumbo,6.75%,6.81%,2025-08-01
30-Year Fixed Rate,6.74%,6.81%,2025-08-03
20-Year Fixed Rate,6.51%,6.60%,2025-08-03
15-Year Fixed Rate,5.99%,6.09%,2025-08-03
10-Year Fixed Rate,6.14%,6.25%,2025-08-03
30-Year Fixed Rate FHA,6.70%,6.75%,2025-08-03
30-Year Fixed Rate VA,6.73%,6.78%,2025-08-03
30-Year Fixed Rate Jumbo,6.74%,6.79%,2025-08-03
30-Year Fixed Rate,6.74%,6.81%,2025-08-04
20-Year Fixed Rate,6.51%,6.60%,2025-08-04
15-Year Fixed Rate,5.99%,6.09%,2025-08-04
10-Year Fixed Rate,6.14%,6.25%,2025-08-04
30-Year Fixed Rate FHA,6.70%,6.75%,2025-08-04
30-Year Fixed Rate VA,6.73%,6.78%,2025-08-04
30-Year Fixed Rate Jumbo,6.74%,6.79%,2025-08-04
